#,日付,ルート,タイプ,備考
26,2018/05/25~27,観音平〜編笠山〜権現岳〜キレット小屋[泊]〜赤岳〜黒百合平[泊]〜高見石小屋〜渋の湯,テント泊・縦走,八ヶ岳縦走
25,2018/05/20,平野〜石割山〜忍野〜富士山駅,日帰り・ハイキング,東海自然歩道
24,2018/05/19,鳩ノ巣駅〜川苔山〜古里駅,日帰り・ハイキング,
23,2018/05/13,道志村トレランレース,レース・トレラン,リタイヤ
22,2018/04/21,山草のみち,日帰り・ハイキング,高水三山・関東ふれあいの道
21,2018/04/14,大磯・高麗山のみち,日帰り・ハイキング,関東ふれあいの道
20,2018/04/08,湖のみち,日帰り・ハイキング,関東ふれあいの道
19,2018/03/31~04/01,伊勢治田駅〜藤原岳〜御池岳〜藤原山荘[泊]〜西藤原駅,避難小屋泊・ハイキング,
18,2018/03/24,浜石岳,日帰り・ハイキング,東海自然歩道
17,2018/03/18,三毳山,日帰り・ハイキング,
16,2018/03/17,東京湾を望むみち,日帰り・ハイキング,鋸山・関東ふれあいの道
15,2018/03/11,弘法大師と丹沢へのみち,日帰り・ハイキング,権現山・関東ふれあいの道
14,2018/03/10,車坂峠〜黒斑山〜蛇骨岳〜車坂峠,日帰り・ハイキング,雪山
13,2018/03/04,幕山,日帰り・ハイキング,湯河原梅林・梅の宴
12,2018/03/03,朝霧グリーンパーク入口〜毛無山〜朝霧グリーンパーク入口,日帰り・ピストン,最高点まで
11,2018/02/24,伊豆ヶ岳を越えるみち,日帰り・ハイキング,伊豆ヶ岳・関東ふれあいの道
10,2018/02/18,大山参り蓑毛のみち,日帰り・ハイキング,関東ふれあいの道
9,2018/02/17,杉の木陰のみち,日帰り・ハイキング,御岳山・関東ふれあいの道
8,2018/02/11,歴史のみち,日帰り・ハイキング,浅間嶺・関東ふれあいの道
7,2018/02/10,山里から津久井湖へのみち,日帰り・ハイキング,雨乞山・関東ふれあいの道
6,2018/02/04,長瀞アルプス,日帰り・ハイキング,宝登山ロウバイまつり
5,2018/02/03,順礼峠のみち,日帰り・ハイキング,関東ふれあいの道
4,2018/01/27,太田道灌・日向薬師のみち,日帰り・ハイキング,関東ふれあいの道
3,2018/01/21,峰の薬師へのみち,日帰り・ハイキング,関東ふれあいの道
2,2018/01/20,湘南海岸・砂浜のみち～稲村ヶ崎・磯づたいのみち,日帰り・ハイキング,関東ふれあいの道
1,2018/01/02~01/09,Mt.Kilimanjaro,海外登山,LemoshoRoute-8days
